date,likes,comments,shares,content
2 小時,"1,708",196,16,最近大家都在問防疫，反而有很多本質的事情被忽略了，今天首都市長提醒大家，真的很聰明：「去訪問柯市長，請他說出對台北市政有甚麼貢獻，讓他自己講。」誠心徵求北市大進步市政成績！歡迎搶答。#本篇歡迎柯粉加入
3 小時,425,19,,我這種已經需要復健的老人，打了疫苗大概也不用期待什麼青春反應了吧！
3 小時,"1,203",53,4,最近聽到幾個家庭的狀況，一些年輕大姐打了疫苗，如果沒有免疫反應的不舒服，自己還會覺得很不舒服。
4 小時,"1,237",19,1 ,從雲林回桃園的路上，看到滿版的彩虹仔細看，上面有霓
9 小時,"2,821",73,30,亞東醫院幫忙解決市場群聚感染，外面有點稱讚，院長就變成自己拜託來的老師。好心肝也是幫忙市府解決疫苗消化困難，外面有點爭議，老師就不老師了！有了雙重標準這招，凡事，必勝！#人的成功不必靠名字有必勝
13 小時,"1,601",16,59,台灣日本文化經濟協會特別選在奧運開幕前一天，募集近80家台灣、日本企業、交流團體，超過1000萬日幣，在日本［產經新聞］刊登全版廣告，台灣黑熊和桃太郎同一隊拔河，為奧運加油，代表台灣感謝日本的疫苗支援！民間交流與合作，是台灣日本從戰後到重建堅定友誼的最大基礎，這種來自國民之間的信任感，不是任何外交手段可以達到的。謝謝你們。
23 小時,"1,049",58,6,新版恰奇還蠻猛的#本文封鎖所有太太
昨天下午4:05,"1,950",97,19,前幾天就想講一件事，一堆每天在反對國產疫苗、要國際認證疫苗的國民黨人，卻是每天在催指揮中心什麼時候讓學生可以打疫苗。是有幾個國家開始施打18歲以下年輕人？國際認證了嗎？台灣以目前的疫情狀況，即使是老年人都不容易被感染，更何況年輕力壯的學生族群。每天東拉西扯的國民黨人，連基本學理和醫理都不整合，是想用這種打濫仗的方式讓我們無法回應嗎？！對了，還有部分媒體。
昨天下午2:59,"4,159",191,12,我發現，自己還蠻喜歡觀察理盲帳號、弱智帳號、商業帳號在我這邊耍白耍賴的糗態。我觀察螞蟻生態，反倒覺得他們是智慧生物。
昨天下午2:10,"2,922",93,10,阿中部長今天剪頭髮，看起來很像蔡小虎，難怪很會唱歌，面相學還真的有點道理。因為疫情，他已經陪大家唱了一年多的［春夏秋冬］了！#這篇講命理不講創造神明
昨天上午11:32,"1,476",156,40,這次奧運商務艙的事情，就是典型［掘井九仞不及泉］的教案。蔡英文總統上任之後，的確開始讓國際大型賽事的選手教練搭乘商務艙前往，只是，台灣的運動風氣大部分還停留在［大賽熱潮］，例如只在世界盃看足球、只在奧運看體育節目，連專業體育台也很難經營下去，奧運就是重中之重。2017年之後，世界運動運動會、亞洲盃籃球賽代表團搭乘商務艙還有新聞，後來大家習慣了，就連新聞都沒有了。奧運是多數人唯一知道的比賽，又遇到疫情的特殊飛航狀況，如果沒有疫情，我相信商務艙都不會有問題。我不會說這次是［低級錯誤］，而是特殊狀況下的天不時地不利加上［人不合］，所以我認為掘井九仞的最後一仞，是［現場指揮官沒有敏感度］！如果我在現場看到，一定會自己先表達讓座，或者自己就坐到選手旁邊表示共體時艱，如果有這個動作，今天就不會有這麼大的風波，這些敏感度，長期訓練的文官是很難體會的！（不用懷疑我是講大話，我就遇到過這種狀況，現場要求換位子從商務艙降等經濟艙過，我當場不是要做新聞，而且直覺認為要避免後患）
昨天上午10:05,"2,453",293,113,看到天災人禍，不管是自己國家還是外國、甚至敵國，即使沒有悲天憫人的胸懷，也不需要落井下石，這種場合不講話不會有人當你啞巴。學自然科學，我倒不是相信因果報應，而是我可以百分之百確認：「沒有那種屁股就不要吃這種瀉藥」的諺語智慧。
昨天上午8:40,"2,224",29,141,今天聯合報頭版的前參謀總長黃曙光專訪，裡面談到潛艦國造遇到［國內自己人扯後腿困難］，［配備直接和原廠採購］，大家有沒有覺得，情境和用語幾乎和疫苗採購一模一樣！我判斷這會是未來對國防及國安資源採購的新模式，就是經過對方國政府的許可，跳過代理商，直接和原廠談判，代理商的角色是事後執行時才出現，中國上海復星已經接近這種模式。潛艦國造是從蔡英文總統2016年上任後才推動，遇到阻礙的時間比武漢肺炎疫情還早，所以，中國杯葛台灣取得戰略物資早就不是新鮮事，國內自己人扯後腿倒是不斷出現新的模式，黃曙光總長講出來了，國際友邦也不會不知道，就請這些人，尤其政界人士，要知自重自愛。#補充在台灣能夠擔任軍火商的，都是國民黨威權時期留下來的特權脈絡，以前所謂的軍系立委，是會有被交代自動奉上的暗盤的。當然，全世界的軍火事業也很複雜，但是我相信立法院目前的法治生態已經健康很多，難免還是會有離譜的事件。截圖自 #聯合報
7月20日下午11:02,641,43,,五十肩的復健真的考驗人的意志力。我家的TRX是用扯鈴掛在門上用來拉筋的。
7月20日下午8:30,"3,262",324,56,大家來猜猜看，江啟臣主席大動作帶團按鈴申告衛福部官員通過EUA是觸犯貪污治罪條例，如果本案不起訴，江啟臣會不會辭黨主席？1，還有點尊嚴良知，會辭職。2，他的程度就差不多如此，會賴給國家機器控制檢察官。3，到時候他已經不是黨主席了，也沒得辭。#補充說明其實，很多政治人物去按鈴申告，現場對媒體講的，和訴狀寫的內容根本兩回事，今天說不定是玩這一招。
7月20日下午6:13,"1,369",146,22,剛剛看到這則新聞，堂堂國民黨南投縣長，竟然對於不同意見的立委以［民進黨養的狗］作非理性攻擊，實在不勝唏噓。我常講，政黨政治，大家互相漏氣求進步，評論的水準如何，大家各自帶開自負盈虧，各人造業各人擔，但是，公眾人物還是要總是有些基本的禮貌身段才對。日前我批評國民黨幹部抹黑陳建仁副總統，我以江啟臣誤用的［行不由徑］加上［也會被咬］，這當然是在嘲笑國民黨，但，分寸就是，我不會把國民黨的幹部比喻成狗，日常生活我也不會罵狗就是了！
7月20日上午10:37,"2,357",174,82,有一個奇怪的帳號，這段期間一直用類似留言來洗版，影射立委可以查水錶，我們開大門走大路，所以等個幾天，看他在自嗨什麼遊戲。今天他自以為傑出的一手貼出截圖，果然經不起辦公室同仁上網查個水溫來檢驗：我真的無法理解，他為什麼要拿已經離開立法院的前國民黨立委的公文，而且影射國民黨立委會濫權查蔡英文總統的水錶？！他是來反串的嗎？是要我去追查這種國民黨立委的劣行嗎？
7月19日下午6:05,"3,975",409,164,剛才有記者問我，在野黨立委說高端疫苗通過是照劇本演出，我的回答如下：1，審查標準都是科學數據，疫苗要打在幾百萬人身上，審查的專家沒有人有必要為了政治幫政府承擔國人健康和安全的責任。2，國民黨也講不出高端是照著什麼劇本，但是我很清楚，中國國民黨倒是照著國台辦的劇本演出，台灣疫苗來一支黑一支，只專討被中國綁死的BNT。
7月19日下午3:47,406,,8,台電手腳雖然慢，但是六月電費下期退費的說明稿已經發布。
7月19日下午2:41,"3,961",154,14,雖然我聽不懂高端那個數據是什麼意思，但是聽起來很厲害！我就決定施打二劑了。#備註（目前指揮中心還沒有公佈接種計畫，反正我就是等）那些放謠言什麼民進黨立委全部打過疫苗的弱智帳號，不用再來洗版低能梗圖了。
7月19日下午1:47,"1,744",136,4,這位去年還在和我開箱初號機扭斷關節的年輕人，到了高雄上班很明顯就變老了。可能高雄的上班時間都是用碼表計算的關係！
7月19日上午9:56,994,27,50,［六月確定非夏月電價，下一期會退費！］六月因為三級警戒，行政院月中決定［不實施］夏月電價，但是五六月的合併帳單來不及調整。確認會［先付後退］，下一期帳單（七八月）會扣回。（因為家庭可能會多出幾千元，講實在雖然每年都會發生，金額還是不小）本週，黨團和行政院正在溝通七月還在三級警戒，也不實施夏月電價！這星期四的行政院院會確認。截圖自 #蘋果日報
7月19日上午8:37,765,23,1 ,螞蟻習慣這個吉卜力豪宅，蟻后開始量產，已經把孩子們的蛹搬展示了！
7月18日下午8:53,"1,290",44,3,今天捧場桃園區參角披薩，是在台灣很少吃到的南義大利（的樣子~）口味，加購店內不是天天都有的薯泥，請老闆附贈自製辣油，整個超讚。因為三級警戒只能外帶，比起二個月下前，生意好像穩定很多，恭喜老闆！年輕人開店互相支援，店內吧檯和  EL JATDIN BAR合作外帶調酒，連外帶杯、袋和吸管都有設計過，帶回家整個就是披薩屋的氣氛。不過，久違的 #本文封鎖鄭太太 表示：「那個（紙吸管）不好用，吸一吸就軟掉了！」聽起來是怪怪的，好像隔壁棚 難攻大士 家今天也有類似的劇情。
7月17日上午9:17,"1,534",75,,一日之計在復健半生之計五十肩#文采堪任黨主席
7月16日上午7:36,"2,087",299,64,陳建仁副總統伉儷協助國產疫苗人體試驗，日前被國民黨人質疑優先先打疫苗，當時副總統也不知道盲測打的是實驗疫苗還是安慰劑，只能啞巴吃黃蓮，只能當作［行不由徑也會被咬］。昨天副總統接獲通知是安慰劑，終於可以反駁國民黨人的亂咬，沒想到王鴻薇不道歉認錯，還繼續胡扯。我猜，如果副總統被通知接種的是實驗疫苗，她一定會說是內線安排，副總統不會打到安慰劑。很無奈，這些國民黨人就是仇恨衝腦，良知和理智雙盲！最近我觀察，江啟臣主席2020年臨危接任一年半，整個國民黨中央黨部已經變成政治仇恨製造中心。當初江主席被期待［幫國民黨內政亂治危］，但上任後路線保守、改革幅度不大，卻還是被黨內的反動派認為［黨中央是院找民碴］，黃復興黨部爆內鬥出走，整個黨的言論主張還集體韓化，如果江主席團隊還［看不懂連任困境，就證明國民黨中央黨部爛］。截圖自 #蘋果日報陳建仁打安慰劑一個數字引質疑　王鴻薇追打：為何你能提前解盲https://tw.appledaily.com/....../Z46UGNU5C5DC3HU5O3GYL5246Y/
7月15日下午10:15,"5,878",210,33,［每天都要處理政治使徒的攻擊］#你哥懶得修圖就直接送奇怪的眼鏡
